,Invoice_No.,Date,Model_ID,Model_x,Region,Make,Model_y,Variant,Ex-Showroom_Price,Displacement,Emission_Norm,Fuel_Type,Body_Type,City_Mileage,Highway_Mileage,Power,Torque,Odometer,Speedometer,Doors
18,5376,2021-04-30,1180,Maruti Suzuki Celerio Vxi (O) Ags,Tamil Nadu,Maruti Suzuki,Celerio,Vxi (O) Ags,"Rs. 5,15,257",998 cc,BS 6,Petrol,Hatchback,23 km/litre,22 km/litre,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,5.0
19,3417,2021-06-01,1180,Maruti Suzuki Celerio Vxi (O) Ags,Rajasthan,Maruti Suzuki,Celerio,Vxi (O) Ags,"Rs. 5,15,257",998 cc,BS 6,Petrol,Hatchback,23 km/litre,22 km/litre,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,5.0
20,3676,2021-08-04,1180,Maruti Suzuki Celerio Vxi (O) Ags,Delhi,Maruti Suzuki,Celerio,Vxi (O) Ags,"Rs. 5,15,257",998 cc,BS 6,Petrol,Hatchback,23 km/litre,22 km/litre,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,5.0
21,2772,2021-01-01,1440,Hyundai Elantra S,Uttar Pradesh,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,BS 6,Petrol,Sedan,13.1 km/litre,14.6 km/litre,152PS@6200rpm,196Nm@4000rpm,Digital,Analog,4.0
22,2629,2021-02-18,1440,Hyundai Elantra S,Rajasthan,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,BS 6,Petrol,Sedan,13.1 km/litre,14.6 km/litre,152PS@6200rpm,196Nm@4000rpm,Digital,Analog,4.0
23,2601,2021-05-06,1440,Hyundai Elantra S,Karnataka,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,BS 6,Petrol,Sedan,13.1 km/litre,14.6 km/litre,152PS@6200rpm,196Nm@4000rpm,Digital,Analog,4.0
24,3355,2021-06-23,1440,Hyundai Elantra S,Haryana,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,BS 6,Petrol,Sedan,13.1 km/litre,14.6 km/litre,152PS@6200rpm,196Nm@4000rpm,Digital,Analog,4.0
25,5028,2021-08-07,1440,Hyundai Elantra S,Karnataka,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,BS 6,Petrol,Sedan,13.1 km/litre,14.6 km/litre,152PS@6200rpm,196Nm@4000rpm,Digital,Analog,4.0
26,4605,2021-09-27,1440,Hyundai Elantra S,Maharashtra,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,BS 6,Petrol,Sedan,13.1 km/litre,14.6 km/litre,152PS@6200rpm,196Nm@4000rpm,Digital,Analog,4.0
27,3262,2021-09-28,1440,Hyundai Elantra S,Uttar Pradesh,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,BS 6,Petrol,Sedan,13.1 km/litre,14.6 km/litre,152PS@6200rpm,196Nm@4000rpm,Digital,Analog,4.0
28,3358,2021-10-12,1440,Hyundai Elantra S,Madhya Pradesh,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,BS 6,Petrol,Sedan,13.1 km/litre,14.6 km/litre,152PS@6200rpm,196Nm@4000rpm,Digital,Analog,4.0
29,2598,2021-10-20,1440,Hyundai Elantra S,Andhra Pradesh,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,BS 6,Petrol,Sedan,13.1 km/litre,14.6 km/litre,152PS@6200rpm,196Nm@4000rpm,Digital,Analog,4.0
30,5374,2021-10-29,1440,Hyundai Elantra S,Delhi,Hyundai,Elantra,S,"Rs. 15,89,000",1999 cc,BS 6,Petrol,Sedan,13.1 km/litre,14.6 km/litre,152PS@6200rpm,196Nm@4000rpm,Digital,Analog,4.0
31,4938,2021-01-01,1261,Maruti Suzuki Vitara Brezza Vdi Ags,Delhi,Maruti Suzuki,Vitara Brezza,Vdi Ags,"Rs. 8,64,742",1248 cc,BS IV,Diesel,SUV,20 km/litre,24.3 km/litre,90PS@4000rpm,200Nm@1750rpm,Digital,Analog,5.0
32,2659,2021-01-22,1261,Maruti Suzuki Vitara Brezza Vdi Ags,Karnataka,Maruti Suzuki,Vitara Brezza,Vdi Ags,"Rs. 8,64,742",1248 cc,BS IV,Diesel,SUV,20 km/litre,24.3 km/litre,90PS@4000rpm,200Nm@1750rpm,Digital,Analog,5.0
33,4905,2021-02-04,1261,Maruti Suzuki Vitara Brezza Vdi Ags,Uttar Pradesh,Maruti Suzuki,Vitara Brezza,Vdi Ags,"Rs. 8,64,742",1248 cc,BS IV,Diesel,SUV,20 km/litre,24.3 km/litre,90PS@4000rpm,200Nm@1750rpm,Digital,Analog,5.0
34,4639,2021-08-31,1261,Maruti Suzuki Vitara Brezza Vdi Ags,Andhra Pradesh,Maruti Suzuki,Vitara Brezza,Vdi Ags,"Rs. 8,64,742",1248 cc,BS IV,Diesel,SUV,20 km/litre,24.3 km/litre,90PS@4000rpm,200Nm@1750rpm,Digital,Analog,5.0
35,4830,2021-09-12,1261,Maruti Suzuki Vitara Brezza Vdi Ags,Assam,Maruti Suzuki,Vitara Brezza,Vdi Ags,"Rs. 8,64,742",1248 cc,BS IV,Diesel,SUV,20 km/litre,24.3 km/litre,90PS@4000rpm,200Nm@1750rpm,Digital,Analog,5.0
36,3559,2021-12-08,1261,Maruti Suzuki Vitara Brezza Vdi Ags,Karnataka,Maruti Suzuki,Vitara Brezza,Vdi Ags,"Rs. 8,64,742",1248 cc,BS IV,Diesel,SUV,20 km/litre,24.3 km/litre,90PS@4000rpm,200Nm@1750rpm,Digital,Analog,5.0
37,4671,2021-01-01,1171,Maruti Suzuki Celerio Lxi,Maharashtra,Maruti Suzuki,Celerio,Lxi,"Rs. 4,26,289",998 cc,BS 6,Petrol,Hatchback,23 km/litre,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,5.0
38,2941,2021-03-11,1171,Maruti Suzuki Celerio Lxi,Haryana,Maruti Suzuki,Celerio,Lxi,"Rs. 4,26,289",998 cc,BS 6,Petrol,Hatchback,23 km/litre,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,5.0
39,3162,2021-10-20,1171,Maruti Suzuki Celerio Lxi,Haryana,Maruti Suzuki,Celerio,Lxi,"Rs. 4,26,289",998 cc,BS 6,Petrol,Hatchback,23 km/litre,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,5.0
40,3133,2021-11-06,1171,Maruti Suzuki Celerio Lxi,Uttar Pradesh,Maruti Suzuki,Celerio,Lxi,"Rs. 4,26,289",998 cc,BS 6,Petrol,Hatchback,23 km/litre,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,5.0
41,2735,2021-01-02,1388,Maruti Suzuki Baleno 1.2 Zeta,Rajasthan,Maruti Suzuki,Baleno,1.2 Zeta,"Rs. 6,97,912",1197 cc,BS 6,Petrol,Hatchback,21.4 km/litre,,83 Bhp@6000rpm,115 Nm@4000rpm,Digital,Analog,5.0
42,3886,2021-02-13,1388,Maruti Suzuki Baleno 1.2 Zeta,Maharashtra,Maruti Suzuki,Baleno,1.2 Zeta,"Rs. 6,97,912",1197 cc,BS 6,Petrol,Hatchback,21.4 km/litre,,83 Bhp@6000rpm,115 Nm@4000rpm,Digital,Analog,5.0
43,4874,2021-02-26,1388,Maruti Suzuki Baleno 1.2 Zeta,Maharashtra,Maruti Suzuki,Baleno,1.2 Zeta,"Rs. 6,97,912",1197 cc,BS 6,Petrol,Hatchback,21.4 km/litre,,83 Bhp@6000rpm,115 Nm@4000rpm,Digital,Analog,5.0
44,4114,2021-04-08,1388,Maruti Suzuki Baleno 1.2 Zeta,West Bengal,Maruti Suzuki,Baleno,1.2 Zeta,"Rs. 6,97,912",1197 cc,BS 6,Petrol,Hatchback,21.4 km/litre,,83 Bhp@6000rpm,115 Nm@4000rpm,Digital,Analog,5.0
45,4369,2021-05-02,1388,Maruti Suzuki Baleno 1.2 Zeta,Andhra Pradesh,Maruti Suzuki,Baleno,1.2 Zeta,"Rs. 6,97,912",1197 cc,BS 6,Petrol,Hatchback,21.4 km/litre,,83 Bhp@6000rpm,115 Nm@4000rpm,Digital,Analog,5.0
46,3489,2021-08-23,1388,Maruti Suzuki Baleno 1.2 Zeta,Tamil Nadu,Maruti Suzuki,Baleno,1.2 Zeta,"Rs. 6,97,912",1197 cc,BS 6,Petrol,Hatchback,21.4 km/litre,,83 Bhp@6000rpm,115 Nm@4000rpm,Digital,Analog,5.0
47,4729,2021-01-02,1335,Jeep Compass 1.4 Longitude (O) At,Haryana,Jeep,Compass,1.4 Longitude (O) At,"Rs. 19,00,000",1368 cc,BS 6,Petrol,SUV,,,163PS@5500rpm,250Nm@2500-4000rpm,Digital,Analog,5.0
48,3500,2021-05-05,1335,Jeep Compass 1.4 Longitude (O) At,Haryana,Jeep,Compass,1.4 Longitude (O) At,"Rs. 19,00,000",1368 cc,BS 6,Petrol,SUV,,,163PS@5500rpm,250Nm@2500-4000rpm,Digital,Analog,5.0
49,3019,2021-06-05,1335,Jeep Compass 1.4 Longitude (O) At,Uttar Pradesh,Jeep,Compass,1.4 Longitude (O) At,"Rs. 19,00,000",1368 cc,BS 6,Petrol,SUV,,,163PS@5500rpm,250Nm@2500-4000rpm,Digital,Analog,5.0
50,2967,2021-07-02,1335,Jeep Compass 1.4 Longitude (O) At,Andhra Pradesh,Jeep,Compass,1.4 Longitude (O) At,"Rs. 19,00,000",1368 cc,BS 6,Petrol,SUV,,,163PS@5500rpm,250Nm@2500-4000rpm,Digital,Analog,5.0
51,5327,2021-10-18,1335,Jeep Compass 1.4 Longitude (O) At,Tamil Nadu,Jeep,Compass,1.4 Longitude (O) At,"Rs. 19,00,000",1368 cc,BS 6,Petrol,SUV,,,163PS@5500rpm,250Nm@2500-4000rpm,Digital,Analog,5.0
52,3528,2021-12-06,1335,Jeep Compass 1.4 Longitude (O) At,Rajasthan,Jeep,Compass,1.4 Longitude (O) At,"Rs. 19,00,000",1368 cc,BS 6,Petrol,SUV,,,163PS@5500rpm,250Nm@2500-4000rpm,Digital,Analog,5.0
53,2945,2021-01-02,1392,Hyundai Grand I10 1.2 Kappa Vtvt Magna,Delhi,Hyundai,Grand I10,1.2 Kappa Vtvt Magna,"Rs. 5,86,428",1197 cc,BS IV,Petrol,Hatchback,18.9 km/litre,18.9 km/litre,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
54,5357,2021-01-17,1392,Hyundai Grand I10 1.2 Kappa Vtvt Magna,Haryana,Hyundai,Grand I10,1.2 Kappa Vtvt Magna,"Rs. 5,86,428",1197 cc,BS IV,Petrol,Hatchback,18.9 km/litre,18.9 km/litre,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
55,3677,2021-04-26,1392,Hyundai Grand I10 1.2 Kappa Vtvt Magna,Karnataka,Hyundai,Grand I10,1.2 Kappa Vtvt Magna,"Rs. 5,86,428",1197 cc,BS IV,Petrol,Hatchback,18.9 km/litre,18.9 km/litre,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
56,3835,2021-07-27,1392,Hyundai Grand I10 1.2 Kappa Vtvt Magna,Andhra Pradesh,Hyundai,Grand I10,1.2 Kappa Vtvt Magna,"Rs. 5,86,428",1197 cc,BS IV,Petrol,Hatchback,18.9 km/litre,18.9 km/litre,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
57,4640,2021-11-13,1392,Hyundai Grand I10 1.2 Kappa Vtvt Magna,Haryana,Hyundai,Grand I10,1.2 Kappa Vtvt Magna,"Rs. 5,86,428",1197 cc,BS IV,Petrol,Hatchback,18.9 km/litre,18.9 km/litre,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
58,3584,2021-11-15,1392,Hyundai Grand I10 1.2 Kappa Vtvt Magna,Uttar Pradesh,Hyundai,Grand I10,1.2 Kappa Vtvt Magna,"Rs. 5,86,428",1197 cc,BS IV,Petrol,Hatchback,18.9 km/litre,18.9 km/litre,83PS@6000rpm,114Nm@4000rpm,Digital,Analog,5.0
59,3443,2021-01-02,1506,Bmw 6-Series 630D Gt Luxury Line,Uttar Pradesh,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
60,4667,2021-02-03,1506,Bmw 6-Series 630D Gt Luxury Line,Andhra Pradesh,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
61,3071,2021-03-10,1506,Bmw 6-Series 630D Gt Luxury Line,Haryana,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
62,4899,2021-03-11,1506,Bmw 6-Series 630D Gt Luxury Line,Madhya Pradesh,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
63,3472,2021-04-17,1506,Bmw 6-Series 630D Gt Luxury Line,Maharashtra,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
64,4926,2021-05-20,1506,Bmw 6-Series 630D Gt Luxury Line,Tamil Nadu,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
65,3796,2021-06-18,1506,Bmw 6-Series 630D Gt Luxury Line,Assam,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
66,3702,2021-07-11,1506,Bmw 6-Series 630D Gt Luxury Line,Rajasthan,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
67,2621,2021-07-21,1506,Bmw 6-Series 630D Gt Luxury Line,Uttar Pradesh,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
68,3621,2021-08-09,1506,Bmw 6-Series 630D Gt Luxury Line,Karnataka,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
69,2556,2021-08-23,1506,Bmw 6-Series 630D Gt Luxury Line,Rajasthan,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
70,3566,2021-10-18,1506,Bmw 6-Series 630D Gt Luxury Line,Karnataka,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
71,4153,2021-10-25,1506,Bmw 6-Series 630D Gt Luxury Line,Madhya Pradesh,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
72,4085,2021-11-04,1506,Bmw 6-Series 630D Gt Luxury Line,Delhi,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
73,4387,2021-12-12,1506,Bmw 6-Series 630D Gt Luxury Line,Karnataka,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
74,5397,2021-12-30,1506,Bmw 6-Series 630D Gt Luxury Line,Delhi,Bmw,6-Series,630D Gt Luxury Line,"Rs. 68,90,000",2993 cc,BS IV,Diesel,Sedan,,,265PS@4000RPM,620Nm@2000-2500RPM,Digital,Analog,4.0
75,4561,2021-01-02,1367,Audi Q7 45 Tdi Technology Pack,Haryana,Audi,Q7,45 Tdi Technology Pack,"Rs. 80,21,500",2967 cc,BS IV,Diesel,SUV,9.3 km/litre,12.6 km/litre,249PS@4500RPM,600Nm@1500-3000rpm,Digital,Digital,5.0
76,5328,2021-02-20,1367,Audi Q7 45 Tdi Technology Pack,Assam,Audi,Q7,45 Tdi Technology Pack,"Rs. 80,21,500",2967 cc,BS IV,Diesel,SUV,9.3 km/litre,12.6 km/litre,249PS@4500RPM,600Nm@1500-3000rpm,Digital,Digital,5.0
77,3848,2021-04-13,1367,Audi Q7 45 Tdi Technology Pack,Maharashtra,Audi,Q7,45 Tdi Technology Pack,"Rs. 80,21,500",2967 cc,BS IV,Diesel,SUV,9.3 km/litre,12.6 km/litre,249PS@4500RPM,600Nm@1500-3000rpm,Digital,Digital,5.0
78,5373,2021-12-06,1367,Audi Q7 45 Tdi Technology Pack,West Bengal,Audi,Q7,45 Tdi Technology Pack,"Rs. 80,21,500",2967 cc,BS IV,Diesel,SUV,9.3 km/litre,12.6 km/litre,249PS@4500RPM,600Nm@1500-3000rpm,Digital,Digital,5.0
79,3060,2021-01-02,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Haryana,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
80,4342,2021-02-10,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Tamil Nadu,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
81,2918,2021-02-26,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Maharashtra,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
82,4882,2021-04-12,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Maharashtra,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
83,3737,2021-04-24,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Tamil Nadu,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
84,3217,2021-06-21,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Tamil Nadu,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
85,5467,2021-07-02,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,West Bengal,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
86,3471,2021-07-24,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Karnataka,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
87,3856,2021-09-29,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,West Bengal,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
88,4470,2021-10-11,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Uttar Pradesh,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
89,3951,2021-10-21,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Madhya Pradesh,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
90,2539,2021-11-16,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Madhya Pradesh,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
91,3206,2021-12-27,1475,Maruti Suzuki Ciaz 1.3L Alpha Smart Hybrid,Maharashtra,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",1248 cc,BS IV,Diesel,Sedan,28.09 km/litre,,89Bhp@4000RPM,200Nm@1750rpm,Digital,Analog,4.0
92,4724,2021-01-02,1200,Maruti Suzuki Swift Zxi Plus Amt,Madhya Pradesh,Maruti Suzuki,Swift,Zxi Plus Amt,"Rs. 8,02,000",1197 cc,BS 6,Petrol,Hatchback,,,83PS@6000rpm,113Nm@4200RPM,Digital,Analog,5.0
